scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse
constant_risk_difference,19,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.003318082294382574,0.08899378552717027,-0.1777459019276363,0.17110973733887117,-0.003318082294382463,True,0.001184454397660656
constant_risk_difference,20,classical_interaction,True,True,,,-1.1102230246251565e-16,0.14321390712322468,0.11284553513960119,-0.07796334175039366,0.364391155996843,0.1432139071232248,True,0.006485511237367339
constant_risk_difference,20,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=361, divergences=0",,-1.1102230246251565e-16,0.013380592726249184,0.04310698076831598,-0.06798913137131203,0.10520933746518354,0.013380592726249295,True,0.0028150008674469275
constant_risk_difference,20,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.04342704071252157,0.08185793312876467,-0.11701450821985718,0.20386858964490032,0.04342704071252168,True,0.0029899621976066906
constant_risk_difference,21,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.018050522536260383,0.1420156757979554,-0.29640124710025295,0.2603002020277322,-0.01805052253626027,True,0.0029867582957150266
constant_risk_difference,21,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=470, divergences=0",,-1.1102230246251565e-16,-0.0011767738486532704,0.03578880794916959,-0.07692663716085461,0.06561061188186483,-0.0011767738486531593,True,0.002912498851484008
constant_risk_difference,21,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.015584614172989286,0.0845439795389,-0.1501215857232547,0.18129081406923328,0.015584614172989397,True,0.0031779640377243546
constant_risk_difference,22,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.03826474342276359,0.14142525125562078,-0.3154582358837803,0.23892874903825312,-0.03826474342276348,True,0.0033124499144683585
constant_risk_difference,22,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=467, divergences=0",,-1.1102230246251565e-16,0.0008019981348352667,0.03400859110310381,-0.07814891590748173,0.06275919342692303,0.0008019981348353777,True,0.0007702953066155765
constant_risk_difference,22,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.013127631197230705,0.09488611224552634,-0.19910441119846234,0.17284914880400093,-0.013127631197230594,True,0.001135784028175974
constant_risk_difference,23,classical_interaction,True,True,,,-1.1102230246251565e-16,0.18982022158868606,0.1092866754507501,-0.02438166229478414,0.4040221054721562,0.18982022158868617,True,0.005615191943781786
constant_risk_difference,23,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=331, divergences=0",,-1.1102230246251565e-16,0.01758035138479363,0.03115272797085981,-0.03960836806759839,0.08664065305116385,0.01758035138479374,True,0.0009539131641139142
