scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse,prior_label,mean_prior_sd,heterogeneity_prior_scale
no_hte,6,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=267, divergences=0",,-1.1102230246251565e-16,0.021832312814495738,0.05149314211971654,-0.07871701929729427,0.1257090989258452,0.02183231281449585,True,0.002792240881845172,Primary,2.0,1.0
no_hte,6,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=321, divergences=0",,-1.1102230246251565e-16,0.025101354193294116,0.04825962258201707,-0.06488286212701168,0.1333117857197445,0.025101354193294227,True,0.002622320788772793,Mean-prior SD 5,5.0,1.0
no_hte,6,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.010, minimum bulk ESS=388, divergences=0",,-1.1102230246251565e-16,0.016966289878816283,0.04062488129612142,-0.06211344023920067,0.10642337381420022,0.016966289878816394,True,0.0018168248352553107,Heterogeneity-prior scale 0.5,2.0,0.5
no_hte,6,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.010, minimum bulk ESS=276, divergences=0",,-1.1102230246251565e-16,0.02543078677776286,0.05241534897765176,-0.07681698452054157,0.14331968359717331,0.025430786777762972,True,0.0029533548459406605,Heterogeneity-prior scale 2,2.0,2.0
no_hte,7,bayesian_hierarchical,True,True,"mean prior SD=1, heterogeneity prior scale=1, max R-hat=1.012, minimum bulk ESS=286, divergences=0",,-1.1102230246251565e-16,-0.008501254375898961,0.04980232082905282,-0.11819033781008031,0.08484376878844876,-0.00850125437589885,True,0.0015479160050728288,Mean-prior SD 1,1.0,1.0
no_hte,7,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=208, divergences=0",,-1.1102230246251565e-16,-0.006535379594848335,0.04641263372891103,-0.10815125373718817,0.07874140355243098,-0.006535379594848224,True,0.0015749959386703383,Primary,2.0,1.0
no_hte,7,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=307, divergences=0",,-1.1102230246251565e-16,-0.005326623453410547,0.04657076699672736,-0.1091386189784802,0.08451490715498755,-0.005326623453410436,True,0.001348894008894115,Mean-prior SD 5,5.0,1.0
no_hte,7,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.030, minimum bulk ESS=113, divergences=0",,-1.1102230246251565e-16,-0.0029947429034532726,0.03842045121211821,-0.09456071601156446,0.0752468153380115,-0.0029947429034531616,True,0.00084150732973863,Heterogeneity-prior scale 0.5,2.0,0.5
no_hte,7,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.010, minimum bulk ESS=254, divergences=0",,-1.1102230246251565e-16,-0.005304140756714552,0.048284290415127475,-0.10765623338778417,0.09448374708670935,-0.005304140756714441,True,0.0016472173505459424,Heterogeneity-prior scale 2,2.0,2.0
no_hte,8,bayesian_hierarchical,True,True,"mean prior SD=1, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=267, divergences=0",,-1.1102230246251565e-16,-0.015556517190089691,0.05994618502405727,-0.16385093009176896,0.07519971457436207,-0.01555651719008958,True,0.004077390776093589,Mean-prior SD 1,1.0,1.0
