scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse,candidate_id,min_samples_leaf,max_samples,max_depth,fit_seed,runtime_seconds
published_scenario,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.18367438454330198,0.16412641852514942,-0.5053621648525948,0.13801339576599087,-0.007026516336061883,True,0.012866964321456406,cf_01,5,0.45,,2860141006,0.5601314590021502
published_scenario,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.16987631163536393,0.14413684351247877,-0.4523845249198223,0.11263190164909442,0.0067715565718761694,True,0.00822229100166439,cf_02,5,0.45,5.0,2860141006,0.49686462500540074
published_scenario,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.21507832611159322,0.18279278622274225,-0.573352187108168,0.1431955348849816,-0.03843045790435312,True,0.01386739677469383,cf_03,5,0.5,,2860141006,0.5844764170033159
published_scenario,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.18492333619465812,0.15962779255161916,-0.49779380959583164,0.1279471372065154,-0.008275467987418017,True,0.008621992802553801,cf_04,5,0.5,5.0,2860141006,0.5100872909970349
published_scenario,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.1643899581529209,0.13841156572560911,-0.4356766269751148,0.10689671066927298,0.012257910054319199,True,0.009864633528871295,cf_05,10,0.45,,2860141006,0.5166072499996517
published_scenario,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.15836769623374025,0.12959953766453727,-0.4123827900562333,0.09564739758875279,0.018280171973499848,True,0.007946156109772657,cf_06,10,0.45,5.0,2860141006,0.4910440829989966
published_scenario,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.17968114510710076,0.14628996993828644,-0.4664094861861422,0.10704719597194068,-0.0030332768998606596,True,0.010863132107063639,cf_07,10,0.5,,2860141006,0.5391526249950402
published_scenario,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.16664411022468478,0.13844548394982661,-0.43799725876634493,0.10470903831697537,0.010003757982555317,True,0.008564331339789597,cf_08,10,0.5,5.0,2860141006,0.4977754999999888
published_scenario,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.11842428106260683,0.11167656607584213,-0.3373103505712574,0.10046178844604375,0.05822358714463327,True,0.008531554703722263,cf_09,20,0.45,,2860141006,0.46893445800378686
published_scenario,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.1174894507401868,0.10968794437675601,-0.3324778217186286,0.09749892023825499,0.059158417467053304,True,0.008050477810013066,cf_10,20,0.45,5.0,2860141006,0.4624474169977475
