scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse
constant_risk_difference,104,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.02421981532742179,0.09965552744452752,-0.17110501846385215,0.21954464911869573,0.0242198153274219,True,0.0023402588799156278
constant_risk_difference,105,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.015023168542595555,0.11662660347059134,-0.24361131134495456,0.21356497425976345,-0.015023168542595444,True,0.003941923037140008
constant_risk_difference,105,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=218, divergences=0",,-1.1102230246251565e-16,-0.0012290217671160112,0.030385928410018637,-0.06956617382452204,0.06303859429611379,-0.0012290217671159002,True,0.0014078340847457215
constant_risk_difference,105,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.02431164210033565,0.11141022016931575,-0.1940523894315232,0.2426756736321945,0.024311642100335762,True,0.0038664145098738596
constant_risk_difference,106,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.032505081013115666,0.12876776010438315,-0.28488989081770666,0.21987972879147533,-0.032505081013115555,True,0.008776259467181163
constant_risk_difference,106,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=230, divergences=0",,-1.1102230246251565e-16,0.0003938360851710354,0.03143722589962955,-0.07923511476540022,0.05531827179623761,0.0003938360851711464,True,0.00479202357479953
constant_risk_difference,106,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.010257100086417559,0.1135176122480188,-0.2122374199196993,0.23275162009253442,0.01025710008641767,True,0.007560430393544719
constant_risk_difference,107,classical_interaction,True,True,,,-1.1102230246251565e-16,0.08743268047192132,0.11115365274512232,-0.1304284789085184,0.305293839852361,0.08743268047192143,True,0.01240378906957356
constant_risk_difference,107,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=315, divergences=0",,-1.1102230246251565e-16,0.003026942652256677,0.04688022034891255,-0.09217871016966292,0.10777189278561665,0.003026942652256788,True,0.006216977178221421
constant_risk_difference,107,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.042951039735554475,0.10388542757478826,-0.16066439831103052,0.24656647778213947,0.042951039735554586,True,0.007215528270906159
constant_risk_difference,108,classical_interaction,True,True,,,-1.1102230246251565e-16,0.06682257703012007,0.1260154502270856,-0.1801677054149677,0.3138128594752079,0.06682257703012018,True,0.007054688058764931
constant_risk_difference,108,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=304, divergences=0",,-1.1102230246251565e-16,0.017483104808536674,0.03752764839432876,-0.06285802016835068,0.08949845003119947,0.017483104808536785,True,0.004156416015919671
constant_risk_difference,108,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.007050336169547755,0.10968066335395829,-0.22202443634330601,0.2079237640042105,-0.007050336169547644,True,0.005615710330729505
constant_risk_difference,109,classical_interaction,True,True,,,-1.1102230246251565e-16,0.006022663386346938,0.14381524848218794,-0.27585522363874143,0.2879005504114353,0.006022663386347049,True,0.006195300332015609
constant_risk_difference,109,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=258, divergences=0",,-1.1102230246251565e-16,-0.0015511369340449296,0.05161680163962899,-0.11612595377128741,0.09205181815991108,-0.0015511369340448185,True,0.004039531945319154
constant_risk_difference,109,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.022980671122407204,0.1163529682716181,-0.2510324889347787,0.2050711466899643,-0.022980671122407093,True,0.006333003252636699
